08-Mar-2018 10:55:05

Rotor = T-Motor 18 inch    Motor = Scorpion SII-4020-420KV    Rotation = CCW

Tunnel RPM = 550.0    AoA = 5 deg   Motor Speed = 3000 rpm

Scan Rate = 2000 Hz   Number of Readings = 5000   Pressure = 29.26 inHg  

  Time(s)       Temp(f)    Velocity(m/s)    Position(deg)     Fx(N)         Fy(N)         Fz(N)        Tx(Nm)        Ty(Nm)       Tz(Nm) 
  0.108129     69.467592      12.255302       97.314024     -3.456707      5.379173      13.692241      0.185177     -0.576336    -0.199796  
  0.108603     69.530720      12.240357       106.890719     -10.389093      11.124171      15.680841      0.500241     -0.590327    -0.360728  
  0.109003     69.499153      12.246526       116.111853     -17.134763     -4.161814      10.539565      0.594397     -0.578201    -0.237930  
  0.109379     69.467592      12.242241       125.143343     -18.683548      1.888171      12.467684      0.855614     -0.523504    -0.090897  
  0.109766     69.341332      12.238167       134.080016     -17.863177     -13.190437      10.691676      0.921094     -0.536237    -0.168208  
  0.110155     69.246644      12.227920       143.064093     -10.992966     -12.393460      3.940263      1.107579     -0.668633    -0.374342  
  0.110545     68.962562      12.219404       152.451164     -3.409653     -12.591644      10.933600      1.073206     -0.620420    -0.226931  
  0.110919     68.457538      12.205719       161.719701      10.473562     -19.173539      16.664651      0.968259     -0.691895    -0.142159  
  0.111302     68.899435      12.204278       170.964532      9.038196     -4.403958      15.299492      1.009350     -0.580381    -0.136370  
  0.111686     68.836308      12.216637       179.735268      11.070667     -5.889801      5.477997      0.843811     -0.650339    -0.324386  
  0.112073     69.025689      12.199186       189.003806      2.346835     -7.177280      6.629967      0.710163     -0.506929    -0.220514  
  0.112463     69.025689      12.193943       197.276741     -2.907867     -1.431823      8.357844      0.629899     -0.350988    -0.153839  
  0.112835     69.278204      12.192921       206.663811     -3.739176     -4.169622      14.698591      0.436067     -0.216114    -0.100707  
  0.113220     69.593847      12.192621       215.671595      1.216117      1.831601      21.833300      0.356045     -0.186296    -0.311342  
  0.113609     69.814795      12.184659       224.987546      4.730966     -0.423926      33.831538      0.255167     -0.062138    -0.392192  
  0.113995     69.278204      12.177170       233.971623      6.385512      0.355793      8.599190      0.150439     -0.370153    -0.261638  
  0.114368     69.088823      12.171050       243.097939      13.707304      9.987736      9.378539      0.181582     -0.590819    -0.123478  
  0.114754     69.309771      12.052114       251.963502      14.812627      9.761402      10.506825      0.071427     -0.643871    -0.326227  
  0.115142     66.500556      12.134672       260.900166      8.336882      13.928387      15.767211      0.142775     -0.543683    -0.349564  
  0.115528     69.467592      12.160946       270.121308      2.230070      10.517766      8.337584      0.230372     -0.606932    -0.226072  
  0.115902     68.994129      12.148927       278.939439     -5.026214      5.621368      8.309667      0.373751     -0.667827    -0.213789  
