08-Mar-2018 17:27:24

Rotor = T-Motor 18 inch    Motor = Scorpion SII-4020-420KV    Rotation = CCW

Tunnel RPM = 550.0    AoA = 30 deg   Motor Speed = 3000 rpm

Scan Rate = 2000 Hz   Number of Readings = 5000   Pressure = 29.23 inHg  

  Time(s)       Temp(f)    Velocity(m/s)    Position(deg)     Fx(N)         Fy(N)         Fz(N)        Tx(Nm)        Ty(Nm)       Tz(Nm) 
  0.107682     76.127630      12.268657       265.688527      1.434061      1.142313     -0.848057      0.040378     -0.417126    -0.205333  
  0.108153     76.411712      12.114889       274.909651     -2.715529      8.089344      4.019333      0.273065     -0.381286    -0.320953  
  0.108549     76.380146      12.267581       283.846315     -7.568279     -0.135527      7.000106      0.297414     -0.359047    -0.243139  
  0.108943     76.159197      12.265052       292.854117     -8.025821     -0.685343      9.948296      0.419244     -0.450985    -0.078975  
  0.109328     76.253891      12.264814       300.652957     -12.446866     -1.086695      15.163633      0.571690     -0.311655    -0.166443  
  0.109714     76.317018      12.268181       308.641449     -14.512422     -9.427047      5.506565      0.589236     -0.347157    -0.309011  
  0.110087     76.064503      12.270578       319.095206     -12.347208     -7.870541      1.305736      0.667518     -0.410391    -0.172388  
  0.110459     75.906682      12.271412       328.790426     -4.394977     -8.116996      0.971916      0.647196     -0.491787    -0.112919  
  0.110956     75.875121      12.267087       337.821934      3.237901     -4.818344      0.694623      0.740901     -0.509963    -0.205856  
  0.111341     75.717300      12.308801       346.568963      6.208388     -7.824140      3.873775      0.603456     -0.392760    -0.265692  
  0.111716     75.717300      12.267922       354.865605      5.818509     -10.283496      1.639821      0.449703     -0.350229    -0.168159  
  0.112094     75.906682      12.274054       3.538219      3.355116     -2.231777      9.142866      0.457067     -0.252943    -0.145242  
  0.112469     76.127630      12.276585       12.877873     -0.364439      1.703449      8.662510      0.373007     -0.174934    -0.212251  
  0.112843     76.380146      12.282121       21.980477      0.124057      4.530754      7.253824      0.297224     -0.174182    -0.275753  
  0.113215     75.306964      12.243398       30.846037      0.784699     -4.279542      9.521995      0.038275     -0.137324    -0.234180  
  0.113590     76.411712      12.274553       40.043462     -2.708856     -4.366972      4.088197     -0.037252     -0.108388    -0.241431  
  0.113964     76.285452      12.277072       48.245286      0.997169      4.901271      6.122842     -0.047536     -0.113635    -0.150698  
  0.114337     76.190764      12.266736       58.201264      7.202908      4.702749      13.391417     -0.169523     -0.209817    -0.104824  
  0.114712     76.411712      12.266619       67.090524      4.619740      12.113837      5.838498     -0.102628     -0.257980    -0.243700  
  0.115087     76.443273      12.263012       76.216840      9.276459      10.818173      6.208662     -0.081381     -0.410385    -0.350266  
  0.115459     76.222324      12.249896       84.963870      2.669855      5.798589      5.835955     -0.044602     -0.386381    -0.203533  
  0.115832     76.127630      12.246166       93.331631     -1.918124     -0.594845      0.495741      0.023592     -0.403827    -0.103456  
  0.116205     76.159197      12.270340       102.860922     -5.069353     -3.303092      3.439922      0.160965     -0.415303    -0.155978  
  0.116578     76.190764      12.237613       111.702778     -10.519167     -2.450832      1.887798      0.298753     -0.443465    -0.275906  
  0.116958     76.380146      12.233146       120.757975     -10.000870      0.565182      17.216078      0.463402     -0.373961    -0.209285  
  0.117333     76.190764      12.227006       129.599822     -10.255911     -5.216837      13.495697      0.456142     -0.363639    -0.184515  
  0.117706     75.843555      12.227022       138.180924     -10.403980     -2.194392      1.038892      0.645926     -0.475948    -0.152794  
  0.118083     75.685734      12.215939       148.065795     -5.022309     -9.547971     -3.415866      0.668613     -0.585431    -0.247279  
  0.118457     75.938249      12.226777       157.144681     -5.420952     -7.644801      1.380615      0.694556     -0.421885    -0.180388  
  0.118832     75.685734      12.230520       166.176189      0.837166     -8.915335      7.294803      0.719964     -0.351099    -0.149986  
  0.119207     75.780427      12.054095       174.662465      3.706659     -5.111940      4.300237      0.727066     -0.370188    -0.234594  
  0.119587     75.748861      12.233891       183.053932      12.190243      0.988473      3.128345      0.745410     -0.504085    -0.258583  
  0.119950     75.685734      12.238467       193.081025      6.849333     -11.838341      8.550555      0.508639     -0.346684    -0.157949  
  0.120316     75.559479      12.243641       201.993983     -1.886072     -2.875213      0.213562      0.494963     -0.199515    -0.160119  
  0.120680     76.096070      12.245805       211.001766     -4.644625     -1.375513      10.417068      0.421962     -0.023330    -0.188401  
  0.121043     76.222324      12.259161       219.606575     -0.421024     -2.500794      10.864811      0.230578     -0.074565    -0.262968  
  0.121407     76.253891      12.255552       228.401018      7.066201      4.595667      18.372443      0.188561     -0.135529    -0.287471  
  0.121774     75.654173      12.246047       238.262183      8.968489      4.308538      9.458707      0.100617     -0.215134    -0.200387  
  0.122142     76.064503      12.391555       247.009212      11.287162      7.749073      3.347401      0.106591     -0.364286    -0.139725  
  0.122510     76.190764      12.254830       255.898481      7.835206      9.361663      0.475348      0.082294     -0.417137    -0.157772  
  0.122956     76.253891      12.262168       264.337344      1.817298      3.100816     -1.358520      0.051116     -0.415248    -0.252182  
  0.123384     76.253891      12.256876       272.728812     -1.283700      7.222397      4.930191      0.246177     -0.396076    -0.259644  
  0.123755     76.222324      12.253868       282.732198     -6.420933      2.033050      6.974066      0.326437     -0.357081    -0.206608  
  0.124196     76.064503      12.233521       291.739982     -7.543688     -1.335144      7.607339      0.414855     -0.446390    -0.131378  
  0.124628     76.159197      12.242553       300.249982     -12.892304     -2.246575      14.028212      0.541590     -0.312486    -0.199072  
  0.124994     76.317018      12.244356       307.906583     -14.504703     -10.372885      8.017251      0.555414     -0.309768    -0.259356  
  0.125363     76.001376      12.238101       318.692231     -12.608577     -5.485129      2.139499      0.692665     -0.386538    -0.155322  
  0.125733     75.622606      12.223174       327.415554     -4.595381     -7.291316      0.407965      0.658361     -0.484312    -0.151874  
  0.126098     75.748861      12.220638       336.304823      3.175652     -5.655875      1.050852      0.722212     -0.495290    -0.244220  
  0.126465     76.001376      12.214231       345.360038      2.184674     -11.038659      3.804935      0.566854     -0.329432    -0.201795  
  0.126834     75.748861      12.206042       353.277411      1.222368     -9.726665      2.843597      0.471926     -0.269084    -0.120515  
  0.127200     75.969809      12.228463       2.969307      3.839996      0.686791      8.772622      0.494785     -0.247672    -0.214206  
  0.127568     76.222324      12.202137       11.834865      2.794340      2.010844      8.475570      0.365070     -0.212588    -0.297259  
  0.127935     76.032943      12.194663       20.937470      2.488414      0.532531      5.374386      0.262804     -0.214435    -0.216142  
  0.128304     76.096070      12.190061       29.850439      1.686755     -6.043025      9.174826      0.051956     -0.135029    -0.114121  
  0.128670     76.253891      12.194518       38.929340     -3.820526     -1.784000      5.081293     -0.012644     -0.062202    -0.185696  
  0.129036     76.506406      12.190736       47.534148     -0.058770      4.420410      5.533630     -0.074284     -0.089867    -0.237594  
  0.129402     76.380146      12.197284       57.087142      11.031830      6.534658      13.129848     -0.137451     -0.271509    -0.244540  
  0.129770     76.380146      12.202604       65.976406      6.006988      11.681907      8.210707     -0.113384     -0.270978    -0.193905  
  0.130135     76.159197      12.047593       75.031603      8.943111      10.949785      4.543710     -0.080812     -0.397557    -0.244207  
  0.130499     76.285452      12.209500       83.897156      4.425447      5.355865      5.712069     -0.040280     -0.407642    -0.209870  
  0.130864     76.348585      12.220844       92.336037     -1.296002     -1.082311     -1.076107     -0.001430     -0.415750    -0.218940  
  0.131232     76.285452      12.221452       101.770502     -3.704773     -2.391867      3.648834      0.167648     -0.422730    -0.171172  
  0.131600     76.222324      12.226040       110.730882     -9.694573     -2.375113      2.678803      0.287858     -0.443779    -0.178155  
  0.131967     76.159197      12.238578       119.809785     -8.030557      0.675067      16.423449      0.435731     -0.412893    -0.199134  
  0.132332     76.285452      12.241345       128.414594     -9.399365     -5.960961      14.637140      0.440216     -0.364552    -0.257312  
  0.132698     75.906682      12.240992       138.062400     -11.006155     -3.999623     -0.503682      0.610783     -0.491557    -0.180900  
  0.133065     75.843555      12.411220       147.236120     -6.679633     -8.769221     -3.640453      0.658709     -0.576531    -0.149501  
  0.133434     75.906682      12.248935       156.480952     -6.872765     -5.664853      1.909681      0.715336     -0.425754    -0.144622  
  0.133800     75.875121      12.247251       165.417634      2.414780     -7.574604      7.717267      0.750907     -0.394720    -0.261264  
  0.134167     75.780427      12.248815       173.097959      4.400206     -7.595909      4.969806      0.716279     -0.392831    -0.306486  
  0.134531     75.591040      12.244002       183.646542      9.694313     -2.396607      0.838151      0.734881     -0.492550    -0.172533  
  0.134896     75.464785      12.226672       192.749152      5.443255     -10.089884      8.218090      0.570105     -0.342065    -0.060235  
  0.135259     76.096070      12.233882       201.519888     -3.559400     -1.557228      1.440941      0.532532     -0.193128    -0.230934  
  0.135631     76.253891      12.231705       210.480276     -3.771525     -1.681349      9.662620      0.449111     -0.073344    -0.335102  
  0.135997     76.253891      12.222419       218.848037      2.122201     -3.970744      13.362357      0.240119     -0.127719    -0.219554  
  0.136362     76.096070      12.209999       228.638065      7.348052      3.173466      17.819126      0.187282     -0.159281    -0.109785  
  0.136726     76.096070      12.202028       237.503627      6.933264      4.409422      9.272930      0.122433     -0.173281    -0.190554  
  0.137091     76.159197      12.186788       246.013610      9.880302      8.510228      1.714217      0.099494     -0.343140    -0.249664  
  0.137457     75.969809      12.173985       254.736951      8.043050      10.246242      1.547029      0.080118     -0.420999    -0.220984  
  0.137821     76.253891      12.190526       263.863249      2.699151      3.526347     -0.242381      0.034595     -0.430964    -0.177823  
  0.138188     76.253891      12.166552       273.179200     -0.435443      8.538348      5.157108      0.244232     -0.408448    -0.175975  
  0.138607     76.190764      12.152496       281.997349     -5.186231      3.092301      6.873063      0.327408     -0.370539    -0.304269  
  0.139071     76.253891      12.150543       290.199182     -7.638325     -2.878233      5.655694      0.382426     -0.447666    -0.189751  
  0.139522     76.032943      12.145368       299.847007     -13.643840     -2.575962      11.555371      0.534302     -0.350863    -0.123814  
  0.139894     76.222324      12.144844       308.973305     -14.560996     -7.428821      11.051430      0.572979     -0.298082    -0.196409  
  0.140267     76.032943      12.149372       317.838868     -12.972641     -4.172769      4.476310      0.699393     -0.366095    -0.230058  
  0.140639     75.780427      12.146508       326.680723     -5.058271     -10.220207      0.149521      0.623151     -0.490951    -0.186054  
  0.141011     75.748861      12.029515       335.498873      1.528334     -7.441581     -0.205894      0.696624     -0.487313    -0.180725  
  0.141381     75.811994      12.165533       345.644480     -1.752242     -9.466728      2.863363      0.580763     -0.298374    -0.135735  
  0.141750     75.938249      12.180283       354.225564     -1.737623     -6.199888      4.723353      0.491781     -0.222239    -0.233301  
  0.142117     75.969809      12.193944       1.950004      6.259480     -0.385493      9.228744      0.471387     -0.296715    -0.293276  
  0.142488     75.717300      12.200371       10.862972      6.600123     -0.308324      8.252425      0.339483     -0.302783    -0.210042  
  0.142859     75.969809      12.221832       19.515188      2.707733     -1.190010      3.726584      0.267020     -0.225063    -0.126692  
  0.143231     76.096070      12.231230       28.760023     -0.594471     -5.871414      7.628620      0.072214     -0.103605    -0.148497  
  0.143601     75.843555      12.244242       38.004857     -4.696130     -1.301028      5.927933     -0.033431     -0.065516    -0.211195  
  0.143970     75.275397      12.400718       47.249692      0.339421      4.164185      7.486962     -0.080481     -0.103789    -0.248474  
  0.144338     76.222324      12.272385       56.138952      12.706189      10.442327      13.297740     -0.058198     -0.281941    -0.244117  
  0.144710     76.474839      12.272632       64.814876      7.089043      10.167218      9.025259     -0.125710     -0.265397    -0.181230  
  0.145081     76.348585      12.279117       74.012303      8.162560      10.048383      1.861036     -0.087457     -0.381079    -0.275658  
  0.145451     76.190764      12.282592       83.091197      6.641578      2.795834      4.919825     -0.051457     -0.437572    -0.204644  
  0.145819     76.159197      12.266375       91.909346     -0.285506      0.638716     -1.628187      0.003141     -0.422197    -0.166621  
  0.146190     76.159197      12.274305       100.774909     -3.708788      0.361892      4.670937      0.181845     -0.390330    -0.145048  
  0.146560     76.285452      12.271786       109.118963     -7.890924     -2.790893      3.098501      0.287395     -0.442409    -0.253157  
  0.146929     76.285452      12.263852       119.003826     -7.037524      0.896879      14.417299      0.445359     -0.431543    -0.256515  
  0.147299     76.222324      12.252544       127.750856     -10.497468     -9.650231      16.370162      0.411609     -0.312089    -0.225344  
  0.147669     76.380146      12.243752       136.806052     -13.080375     -1.868769     -0.706992      0.639566     -0.445984    -0.108755  
  0.148039     75.969809      12.232440       145.956066     -7.363653     -6.542577     -2.018038      0.708084     -0.558039    -0.177513  
  0.148407     76.064503      12.212295       154.371231     -5.742499     -8.451552      2.917884      0.711225     -0.450679    -0.251477  
