02-Mar-2018 11:46:25

Rotor = T-Motor 18 inch    Motor = Scorpion SII-4020-420KV    Rotation = CCW

Tunnel RPM = 550.0    AoA = 15 deg   Motor Speed = 3000 rpm

Scan Rate = 2000 Hz   Number of Readings = 5000   Pressure = 29.58 inHg  

  Time(s)       Temp(f)    Velocity(m/s)    Position(deg)     Fx(N)         Fy(N)         Fz(N)        Tx(Nm)        Ty(Nm)       Tz(Nm) 
  0.107939     76.474839      12.329248       249.806368      10.134622      4.317339      7.464899      0.064264     -0.509667    -0.320217  
  0.108433     76.159197      12.320416       260.639412      5.621984      8.286176      12.743004      0.128344     -0.481347    -0.185861  
  0.108842     76.474839      12.316235       269.054586     -1.801717      7.946520      7.835846      0.139794     -0.487267    -0.159365  
  0.109240     76.506406      12.313993       277.659394     -5.809115      6.184036      11.249332      0.228846     -0.490025    -0.232794  
  0.109638     76.601094      12.308566       286.572370     -11.630337      7.228276      8.551231      0.385139     -0.535571    -0.358930  
  0.110034     76.537967      12.294805       295.271986     -14.938963     -0.420980      8.748616      0.456051     -0.496856    -0.200676  
  0.110431     76.348585      12.279585       304.682745     -13.450463     -0.554738      10.355731      0.669814     -0.509131    -0.146305  
  0.110826     76.222324      12.301613       313.216452     -12.500722     -5.253491      5.269740      0.758467     -0.514002    -0.180209  
  0.111222     75.938249      12.253985       321.584213     -6.878602     -11.404541      10.042960      0.812875     -0.495230    -0.292823  
  0.111616     75.906682      12.239236       332.061676      2.007112     -8.992986      9.098213      0.946959     -0.558663    -0.295415  
  0.112009     75.527912      12.225746       341.330214      7.247335     -14.785022      6.497142      0.801479     -0.553395    -0.102994  
  0.112406     75.527912      12.216577       350.432842      6.961437     -7.309627      5.167923      0.797904     -0.470846    -0.175771  
  0.112801     75.906682      12.214344       359.061339      4.692551     -7.160861      6.431521      0.674727     -0.389114    -0.288676  
  0.113196     76.159197      12.209350       7.615428     -0.275572     -2.086382      8.207630      0.592340     -0.294269    -0.346854  
  0.113590     76.096070      12.213880       16.718034      0.033885      0.310627      14.268169      0.460109     -0.187996    -0.117595  
  0.113984     76.222324      12.034217       24.587994      1.022086     -4.885789      16.775597      0.257190     -0.131799    -0.157448  
  0.114381     76.348585      12.212820       34.591380      0.032162      2.402893      13.989467      0.236984     -0.081058    -0.228674  
  0.114782     76.474839      12.218196       43.575462      5.490813     -1.272857      10.527804      0.051729     -0.191031    -0.352540  
  0.115170     76.190764      12.221518       52.725476      9.859735      4.156790      10.748379      0.005384     -0.308577    -0.220783  
  0.115554     76.064503      12.227943       61.922903      11.307701      6.785910      8.743069     -0.020426     -0.384689    -0.066886  
  0.115941     76.190764      12.242482       70.764754      11.125128      5.168556      9.020103     -0.109602     -0.441525    -0.257165  
  0.116329     76.443273      12.253220       79.345860      5.680523      11.017724      12.386674     -0.047112     -0.386274    -0.364613  
  0.116711     76.506406      12.257867       87.595089     -0.805197      4.441683      11.198644     -0.062172     -0.409297    -0.270122  
  0.117094     76.443273      12.270220       97.385134     -5.143250      6.278954      11.539408      0.099427     -0.467398    -0.149814  
  0.117481     76.411712      12.276390       106.132173     -13.213277      9.028219      8.772044      0.329631     -0.467310    -0.163908  
  0.117863     76.506406      12.287920       115.353298     -15.235743     -2.093138      6.344015      0.382175     -0.512745    -0.313330  
  0.118250     76.537967      12.297413       124.076630     -13.031035      3.175202      9.814771      0.656123     -0.529413    -0.361815  
  0.118636     75.969809      12.302622       133.131826     -10.935613     -11.428200      7.684074      0.709744     -0.573054    -0.211132  
  0.119023     75.685734      12.268075       141.404770     -5.772844     -11.659012      10.408546      0.860101     -0.543102    -0.056559  
  0.119406     75.843555      12.306379       151.692608     -3.555185     -7.330620      8.417558      1.012222     -0.489119    -0.194282  
  0.119790     75.811994      12.311221       160.747805      1.477322     -15.457924      7.113930      0.903663     -0.557132    -0.364546  
  0.120176     75.654173      12.304202       169.660780      6.327587     -3.853798      4.212973      0.972811     -0.577789    -0.217537  
  0.120559     75.559479      12.297909       178.478930      9.198245     -10.181836      8.186352      0.803903     -0.564346    -0.162119  
  0.120944     75.875121      12.302836       187.439300      1.646281     -5.556456      8.422773      0.750262     -0.390112    -0.137549  
  0.121327     74.360037      12.277618       196.281156     -1.047500      2.400439      11.686753      0.757389     -0.281036    -0.274705  
  0.121710     76.096070      12.288434       205.383766     -0.557036     -8.307561      18.467564      0.497223     -0.202801    -0.276568  
  0.122097     76.001376      12.325102       213.988557      1.271076     -2.403662      15.870633      0.440008     -0.210782    -0.174341  
  0.122485     76.127630      12.271831       222.190390      5.431356     -0.916559      14.333120      0.321054     -0.282809    -0.135138  
  0.122867     76.096070      12.261019       232.596751      9.845181      3.068340      9.296058      0.255164     -0.404207    -0.316792  
  0.123273     75.969809      12.249116       242.671257      9.981054      10.029558      11.029720      0.233251     -0.439566    -0.264127  
  0.123664     76.222324      12.246769       251.536820      9.834812      2.318483      7.620680      0.036249     -0.526236    -0.248502  
  0.124053     76.285452      12.230464       260.046802      5.181136      7.891220      13.044559      0.087873     -0.487744    -0.187328  
  0.124443     76.506406      12.227740       268.224929     -1.922080      10.308354      7.045303      0.130308     -0.500618    -0.222668  
  0.124840     76.569533      12.220588       278.323123     -6.171583      5.431714      10.331525      0.191372     -0.527901    -0.272447  
  0.125218     76.632661      12.214743       287.639074     -10.629964      7.028904      10.612895      0.349813     -0.570925    -0.228741  
  0.125595     76.411712      12.204347       296.243882     -15.426336     -0.285127      10.264358      0.435423     -0.513588    -0.173367  
  0.125977     76.317018      12.208522       305.322786     -14.285535     -0.186352      9.364548      0.648881     -0.542788    -0.284485  
