02-Mar-2018 11:02:52

Rotor = T-Motor 18 inch    Motor = Scorpion SII-4020-420KV    Rotation = CCW

Tunnel RPM = 550.0    AoA = 0 deg   Motor Speed = 3000 rpm

Scan Rate = 2000 Hz   Number of Readings = 5000   Pressure = 29.58 inHg  

  Time(s)       Temp(f)    Velocity(m/s)    Position(deg)     Fx(N)         Fy(N)         Fz(N)        Tx(Nm)        Ty(Nm)       Tz(Nm) 
  0.126233     72.624010      12.149367       139.769145     -12.299263     -11.811676      10.123870      0.981299     -0.593053    -0.160669  
  0.126613     72.908086      12.164400       148.871746     -3.941156     -14.227122      15.830629      1.068427     -0.606900    -0.224118  
  0.126995     72.687137      12.173653       157.950649      5.171726     -15.254373      5.258829      1.106257     -0.721545    -0.274409  
  0.127376     73.381549      12.084354       166.342117      2.588011     -12.974101      11.492681      1.013639     -0.594099    -0.178935  
  0.127756     73.192161      12.197732       175.918821      3.538592     -5.560320      5.424170      0.994539     -0.578024    -0.266222  
  0.128141     73.160601      12.209124       185.116239      2.003808     -4.366274      12.983335      0.855733     -0.495865    -0.285085  
  0.128525     73.381549      12.224704       194.384777     -1.721805      0.909868      10.606625      0.785720     -0.412423    -0.291343  
  0.128907     73.223728      12.230715       203.463680      0.915621     -6.196983      23.106888      0.580136     -0.276270    -0.193150  
  0.129286     73.413116      12.247216       212.518877     -1.928381     -1.966507      18.153955      0.477756     -0.228113    -0.246154  
  0.129665     73.381549      12.258565       221.313320      1.643751     -0.036292      17.637592      0.408078     -0.231536    -0.242786  
  0.130045     73.318422      12.261739       230.415930      8.188773     -2.846399      18.287020      0.232375     -0.368192    -0.320969  
  0.130424     73.318422      12.428316       239.044427      12.893963      7.769148      17.434297      0.237794     -0.444955    -0.140844  
  0.130805     73.223728      12.284027       248.004815      16.175573      5.988340      12.547246      0.110845     -0.598797    -0.238625  
  0.131185     73.318422      12.282523       256.254044      12.344709      12.539595      11.649755      0.113265     -0.618443    -0.295023  
  0.131566     73.697191      12.295971       264.550703      5.713733      12.735471      14.701888      0.201354     -0.565848    -0.277054  
  0.131946     73.570937      12.295813       274.079977     -2.760610      9.917911      10.594378      0.299020     -0.602200    -0.223006  
  0.132331     73.665625      12.280030       284.391530     -8.274416      7.810091      14.732760      0.501543     -0.622106    -0.221606  
  0.132712     73.791885      12.291872       293.138560     -18.012455      3.447995      13.507535      0.650027     -0.550992    -0.225766  
  0.133095     73.728752      12.291144       302.288565     -19.410277      0.284821      9.264576      0.849736     -0.585802    -0.242919  
  0.133476     73.413116      12.286209       310.822271     -18.437309     -4.114844      11.600880      1.031704     -0.590634    -0.209677  
  0.133859     73.065907      12.274421       319.995983     -13.083652     -14.989092      9.959351      1.057608     -0.621117    -0.178371  
  0.134238     70.793283      12.246917       329.146024     -4.383985     -11.661339      14.301853      1.182493     -0.586942    -0.270569  
  0.134618     72.939652      12.259980       338.248616     -0.993621     -15.135499      8.143503      1.118573     -0.623071    -0.295244  
  0.135000     72.813392      12.250730       347.185297      1.932842     -12.061267      12.049451      1.028911     -0.532558    -0.164151  
  0.135382     72.624010      12.268032       354.984138      8.852932     -6.594312      13.285815      0.922653     -0.572101    -0.228090  
  0.135763     73.192161      12.243377       4.723455      4.077687     -4.801172      9.964567      0.728048     -0.468099    -0.240152  
  0.136144     73.318422      12.242223       13.494194     -0.556222      0.333690      10.156936      0.652257     -0.323329    -0.278623  
  0.136524     76.569533      12.271664       22.691619     -1.775384     -3.338865      17.868602      0.410591     -0.183171    -0.280917  
  0.136905     73.507804      12.235278       31.936452     -2.497653     -3.399626      16.352979      0.204886     -0.148303    -0.224825  
  0.137287     73.570937      12.229483       40.707191      0.594853     -0.438852      18.805534      0.107970     -0.130990    -0.241879  
  0.137668     73.634064      12.234119       49.857209      11.150620      5.564997      16.297444      0.039167     -0.283618    -0.274702  
  0.138047     73.476243      12.232309       59.196862      11.422253      7.938903      18.025101     -0.057775     -0.321511    -0.255221  
  0.138432     73.507804      12.062011       67.967598      13.936486      8.901561      10.323194     -0.161900     -0.463561    -0.171038  
  0.138867     73.697191      12.223103       77.165021      10.641972      11.053421      14.670299     -0.121836     -0.465337    -0.272371  
  0.139429     73.665625      12.224046       86.267630      4.130376      13.248041      12.431187     -0.015937     -0.463352    -0.317391  
  0.139900     73.728752      12.222160       94.943550      1.227216      8.269198      16.741602      0.085672     -0.514640    -0.309196  
  0.140426     73.634064      12.214547       103.856516     -6.635672      6.109288      17.479473      0.294854     -0.542052    -0.221884  
  0.140921     73.602498      12.218102       112.674665     -16.741980      0.972962      9.527074      0.457825     -0.488695    -0.058200  
